Title,Poster Image,Run Time,Plot,Director,Writer,IMDB Link,Release Date,Rating,MPAA,User Comments,Tag Line,Keywords,Genres,Cast
10 Things I Hate About You,http://ia.media-imdb.com/images/M/MV5BMTU0OTA1MzQ1OF5BMl5BanBnXkFtZTcwMzQzNzkxMQ@@._V1._SX99_SY140_.jpg,97 min,"A remake of the classic Shakespare play ""The Taming of the Shrew."", set in a modern day highschool.",Gil Junger,"Karen McCullah Lutz, Kirsten Smith",http://www.imdb.com/title/tt0147800/,03/31/1999,PG-13,"Rated PG-13 for crude sex-related humor and dialogue, alcohol and drug-related scenes, all involving teens.",I can't stop watching this movie!,How do I loathe thee? Let me count the ways.,Sister|Shrew|School|William|Shakespeare|Dating,Comedy|Romance,Kyle Cease|Daryl Mitchell|Susan May Pratt|Allison Janney|Tarance Houston|Greg Jackson|Joseph Gordon-Levitt|David Leisure|David Krumholtz|Gabrielle Union|Larisa Oleynik|Julia Stiles|Andrew Keegan|Larry Miller|Heath Ledger
"10,000 BC",http://ia.media-imdb.com/images/M/MV5BMTI4ODAwNTQ0M15BMl5BanBnXkFtZTcwMDA1NTU3MQ@@._V1._SX93_SY140_.jpg,109 min,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,Roland Emmerich,"Roland Emmerich, Harald Kloser",http://www.imdb.com/title/tt0443649/,03/07/2008,PG-13,Rated PG-13 for sequences of intense action and violence.,Mind numbingly stupid,It takes a hero to change the world.,Hunter|Epic|Prehistoric|Tribe|Mammoth,Adventure|Romance|Thriller,Affif Ben Badra|Marco Khan|Camilla Belle|Steven Strait|Kristian Beazley|Mona Hammond|Louise Tu'u|Joel Fry|Nathanael Baring|Mo Zinal|Joel Virgel|Junior Oliphant|Reece Ritchie|Cliff Curtis|Omar Sharif
12 Rounds,http://ia.media-imdb.com/images/M/MV5BMTU1MzM1ODkxM15BMl5BanBnXkFtZTcwNDY1MTA0Mg@@._V1._SX95_SY140_.jpg,108 min,"Detective Danny Fisher discovers his girlfriend has been kidnapped by a ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release. |",Renny Harlin,Daniel Kunka,http://www.imdb.com/title/tt1160368/,03/27/2009,PG-13,Rated PG-13 for intense sequences of violence and action.,Latest Cena Film Passes Grade,"",Detective|Fight|Rescue|Time|Friend,Action|Thriller,Gonzalo Menendez|Rosalind Rubin|Brian Stanton|Travis Davis|Taylor Cole|Peter Navy Tuiasosopo|Aidan Gillen|Billy Slaughter|Steve Harris|Kim Collins|Nick Gomez|Brian J. White|Kyle Russell Clements|Ashley Scott|John Cena
1408,http://ia.media-imdb.com/images/M/MV5BMTIwOTUxMzA2NF5BMl5BanBnXkFtZTcwMDAwMDU1MQ@@._V1._SX100_SY131_.jpg,104 min  | 112 min (director's cut),"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",Mikael H&#xE5;fstr&#xF6;m,"Matt Greenberg, Scott Alexander",http://www.imdb.com/find?s=all&q=1408,06/22/2007,PG-13,"Rated PG-13 for thematic material including disturbing sequences of violence and terror, frightening images and language.",Surprisingly effective,Based on the terrifying story by Stephen King,Hotel|Debunking|Writer|Author|Death,Horror|Thriller,Isiah Whitlock Jr.|Mary McCormack|Holly Hayes|Jasmine Jessica Anthony|Margot Leicester|Tony Shalhoub|Samuel L. Jackson|Paul Birchard|Len Cariou|Johann Urb|Walter Lewis|John Cusack|David Nicholson|Alexandra Silber|Eric Meyers
18 Fingers of Death!,http://ia.media-imdb.com/images/M/MV5BMTI0NzYxODM1Ml5BMl5BanBnXkFtZTcwNDc1MzUyMQ@@._V1._SX100_SY82_.jpg,USA:87 min,"A Martial Arts Movie Star ""Mock-umentary"" in the loose tradition of Spinal Tap.",James Lew,James Lew,http://www.imdb.com/title/tt0397853/,01/01/-4712,PG-13,Rated PG-13 for some crude and sex-related humor.,Shoot me now,"",Movie|Star|Broken|Arm|Producer|B|Movie|Street|Gang,Action|Comedy,Johnny Diaz Reyes|Eddie Griffin Jr.|Simon Rhee|Arnold Chon|Maurice Patton||Kelly Williams|Steve Kim|Michael Q. Schmidt|Murray Rubinstein|Jenna Bailey|Debora Hunter|John Montana|Michael Mastro|David Scott Jones|Jacqui Holland|Cary Thompson|Michael Andersen|Don 'The Dragon' Wilson|Brad Greenquist|Nick Slatkin|Koji Abe|Kelly Koskella|George Cheung|James Price|Vincent Ward|Alan Noel Vega|Ho-Sung Pak|Kirk Graves|Martin Morales|Kofi Yiadom|Stuart W. Yee|Robin Shou|David G. Harper|Pat Morita|Sonny Sison|Rico Simonini|Esteban Cueto|Joe Ordaz|Lori Beth Denberg|Christina Knizer|Peter Iacangelo III|Jerry Guerin|Norman Mora|Gianni Notaro|Kristopher Medina|Dan Speaker|Diane Sellers|Bokeem Woodbine|Matthew Emery|Nancy P. Corbo|Marty Yacobian|Charlie George Brown|Marc Hatchell|Joseph Thomas Jr.|Nils Allen Stewart|BooBoo Stewart|Ross Bernard|Aaron Bolden|Will Leong|Luke Franco|Luke LaFontaine|Edwin Villa|Lisa Arturo|Christina Franco|James Lew|Donovan Brandt|Joe Jones|June Kyoto Lu|Joey Diaz|Lindsay Kuhn|Shaun Thingvold|Roark Critchlow|Shane Aaron|Ronn Surels|Buddy Sosthand|Erica Shepard|Erik Betts|John Arrington|Vincent Guisetti|Richard Voigts|Paige Baxter|Squeen Holzen|Falk Hentschel|Lorenzo Lamas|Geovanny Corvera|Michael Matsuda|Jonathon Rice
21,http://ia.media-imdb.com/images/M/MV5BMjA5OTgyMTE5NF5BMl5BanBnXkFtZTcwMTg5Nzg3MQ@@._V1._SX100_SY136_.jpg,123 min,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",Robert Luketic,"Peter Steinfeld, Allan Loeb",http://www.imdb.com/title/tt0478087/,03/28/2008,PG-13,"Rated PG-13 for some violence, and sexual content including partial nudity.","Nothing new, but it's worth the watch",Inspired by the true story of five students who changed the game forever.,Casino|Student|Card|Counting|Harvard|Professor,Drama,Donna Lows|Butch Williams|Jacob Pitts|Aaron Yoo|Helen Carey|Jack Gilpin|Sam Golzari|Liza Lapira|Kate Bosworth|Ben Campbell|Jack McGee|Laurence Fishburne|Kevin Spacey|Jim Sturgess|Josh Gad
27 Dresses,http://ia.media-imdb.com/images/M/MV5BMzI5OTM0OTg2MF5BMl5BanBnXkFtZTcwNjAyMTU1MQ@@._V1._SX94_SY140_.jpg,111 min,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",Anne Fletcher,Aline Brosh McKenna,http://www.imdb.com/title/tt0988595/,01/18/2008,PG-13,"Rated PG-13 for language, some innuendo and sexuality.",Sneak Preview: 27 Dresses,"This January, always a bridesmaid, never a bride.",Bridesmaid|Wedding|Love|Friend|Boss,Comedy|Romance,Marilyn L. Costello|Jennifer Lim|Brian Kerwin|Danielle Skraastad|Erin Fogel|Yetta Gottesman|Michael Ziegfeld|Katherine Heigl|Bern Cohen|James Marsden|Peyton List|Judy Greer|Jane Pfitsch|Charli Barcena|Brigitte Bourdeau
300,http://ia.media-imdb.com/images/M/MV5BMTM1NDU1MTIxMF5BMl5BanBnXkFtZTcwOTcwMjI2MQ@@._V1._SX100_SY127_.jpg,117 min,King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,"Zack Snyder, Kurt Johnstad",http://www.imdb.com/title/tt0416449/,03/09/2007,R,"Rated R for graphic battle sequences throughout, some sexuality and nudity.",Chills!,Feel the wrath in IMAX,Persian|King|Xerxes|Battle|Army,Action|History|War,Giovani Cimmino|Rodrigo Santoro|David Wenham|Dominic West|Vincent Regan|Alex Ivanovici|Andrew Pleavin|Gerard Butler|Kelly Craig|Tom Wisdom|Michael Fassbender|Stephen McHattie|Andrew Tiernan|Greg Kramer|Lena Headey
The 40 Year Old Virgin,http://ia.media-imdb.com/images/M/MV5BMTkyMDI0MTIxMl5BMl5BanBnXkFtZTcwODYxMDU0MQ@@._V1._SX100_SY136_.jpg,116 min  | Philippines:112 min (cut) | 133 min (unrated version),"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",Judd Apatow,"Judd Apatow, Steve Carell",http://www.imdb.com/find?s=all&q=40+year+old+virgin,08/19/2005,R,"Rated R for pervasive sexual content, language and some drug use.",It's about time a really funny movie came along!,A Comedy about the moments that touch us in ways we've never been touched before.,Sex|Collection|Poker|Virgin|Comic|Book,Comedy|Romance,Kat Dennings|Shelley Malil|Erica Vittina Phillips|Jane Lynch|Romany Malco|Elizabeth Banks|Seth Rogen|Jordy Masterson|Paul Rudd|Chelsea Smith|Leslie Mann|Catherine Keener|Gerry Bednob|Jonah Hill|Steve Carell
48 Angels,http://ia.media-imdb.com/images/M/MV5BNzcwMzE2MTE1M15BMl5BanBnXkFtZTcwOTk5MDYzMQ@@._V1._SX100_SY129_.jpg,92 min,"Seamus is a 9 year old boy who has been diagnosed with a serious illness. In search of a miracle, he sets off to find God before God comes for him...",Marion Comer,"Marion Comer, Craig Holland",http://www.imdb.com/find?s=all&q=48+angels,01/01/-4712,PG-13,Rated PG-13 for brief language and some violence.,Quite an unusual film,"",God|Boat|Oar|Quest|Miracle,Drama,|Sean McGinley|Michael Quinn|John Travers|Clark Heathcliffe Brolly|Diarmaid Drumm|Elizabeth Moynihan|Ciaran Flynn|Shane Brolly|Brendan Mackey|Michelle Hand|Tom Murphy|John McDonnell|Darragh Kelly
